date,coffee beans
2018-07-22,97
2018-07-23,83
2018-07-24,90
2018-07-25,80
2018-07-26,73
2018-07-27,74
2018-07-28,81
2018-07-29,89
2018-07-30,81
2018-07-31,83
2018-08-01,78
2018-08-02,91
2018-08-03,82
2018-08-04,91
2018-08-05,88
2018-08-06,90
2018-08-07,77
2018-08-08,83
2018-08-09,82
2018-08-10,76
2018-08-11,86
2018-08-12,92
2018-08-13,80
2018-08-14,80
2018-08-15,77
2018-08-16,73
2018-08-17,92
2018-08-18,92
2018-08-19,97
2018-08-20,81
2018-08-21,78
2018-08-22,80
2018-08-23,71
2018-08-24,73
2018-08-25,83
2018-08-26,85
2018-08-27,83
2018-08-28,78
2018-08-29,73
2018-08-30,70
2018-08-31,69
2018-09-01,79
2018-09-02,84
2018-09-03,76
2018-09-04,76
2018-09-05,71
2018-09-06,75
2018-09-07,77
2018-09-08,86
2018-09-09,81
2018-09-10,81
2018-09-11,75
2018-09-12,77
2018-09-13,74
2018-09-14,73
2018-09-15,86
2018-09-16,91
2018-09-17,77
2018-09-18,78
2018-09-19,76
2018-09-20,85
2018-09-21,69
2018-09-22,84
2018-09-23,84
2018-09-24,78
2018-09-25,69
2018-09-26,81
2018-09-27,75
2018-09-28,80
2018-09-29,90
2018-09-30,91
2018-10-01,88
2018-10-02,80
2018-10-03,86
2018-10-04,78
2018-10-05,86
2018-10-06,85
2018-10-07,89
2018-10-08,88
2018-10-09,75
2018-10-10,81
2018-10-11,76
2018-10-12,82
2018-10-13,85
2018-10-14,87
2018-10-15,75
2018-10-16,70
2018-10-17,84
2018-10-18,85
2018-10-19,77
2018-10-20,78
2018-10-21,92
2018-10-22,77
2018-10-23,77
2018-10-24,79
2018-10-25,78
2018-10-26,79
2018-10-27,79
2018-10-28,88
2018-10-29,78
2018-10-30,82
2018-10-31,78
2018-11-01,81
2018-11-02,71
